month,Gross turnover,Less VAT,Nett turnover,Total cost of sales,Beverages,Bread and rolls,Butter and cheese,Chicken,Chips,Dairy,Delivery expenses,Desserts,Fish,Fruit and veg,Garnish,Groceries,Hot beverages,Ice-cream,Liquor - beer and cider,Liquor - spirits,Liquor - wine,Meat,Mushrooms,Oil,Ribs,Premade Sauces,Spur sauces,Gross profit,Other income,Breakages recovery,Interest received,Transport,Refund on old oil,Total variable overheads,Accounting and audit fees,Bank charges,Breakages and replacements,Cleaning and pest control,Computer expenses,Credit card comission Paid,Donations,Entertainment Costs,General gas,Hire of Equipment,Interest paid,Kids Entertainment,Legal and Licence fees,Printing stationery and menus,Packaging cost,Repairs and maintenance,Salaries and wages:,-Management,-Production staff (Incl Casuals),-Waitrons (Incl Casuals),-Director,-Company portion UIF and SDL,Staff transport,Staff uniforms,Staff meals,Staff medical,Telephone expenses,Waste removal,Total fixed overheads,"Electricity,water, refuse, sewerage and rates",Insurance - HIC,Insurance - Sanlam,Rent paid,Security expenses,Marketing Fees,Marketing general,Spur Marketing fee,Spur Franchise Fee,Expenses grand total,Nett Profit /(Loss)
2024-03-01,1210675.97,157914.26,1052761.71,417428.51,19046.73,10298.7,,35055.22,39541.3,7566.1,8395.4,7957.03,4638.97,10506.41,5587.49,39665.29,6107.1,10033.03,19329.03,3539.96,7564.72,73356.0,5214.0,16422.45,21351.55,16988.64,16008.18,635333.2,14484.09,2892.0,4212.09,6820.0,560.0,398906.95,22224.13,4715.37,1262.57,11370.5,,,146.0,1043.48,10076.28,,16321.85,,1273.0,1857.09,,17942.52,,77230.0,84530.8,79627.07,20000.0,4478.14,10434.78,1625.21,11698.93,580.87,2902.04,1043.49,140152.85,58334.26,5491.49,8766.28,67060.82,500.0,59489.27,17378.8,42110.47,52638.09,651187.16,1369.87
2024-04-01,1236045.24,161223.29,1074821.95,418484.28,17150.75,11711.49,,37239.09,42134.25,8160.1,9853.32,6739.01,5358.05,7574.65,7834.72,36404.01,8256.4,10423.38,18663.98,8157.68,9335.75,66738.2,5151.0,16192.15,14765.95,16220.69,20867.68,656337.67,17422.6,1710.9,4211.7,10100.0,1400.0,491632.97,11650.0,4912.08,1546.05,13344.35,591.3,,125.0,2252.17,8565.76,,16320.37,,1273.0,8412.68,,32325.05,,83730.0,131274.51,92149.26,20000.0,6509.3,10434.78,4705.87,7002.27,580.87,4409.08,695.66,139020.97,57510.9,5491.49,8766.28,66752.3,500.0,50165.55,7172.67,42992.88,53741.1,734560.59,60800.32
2024-05-01,1372254.23,178989.68,1193264.55,457571.55,18120.64,13340.63,,34576.67,46950.74,9504.64,11312.87,6854.79,5723.69,9126.1,8557.99,40088.25,8836.9,10258.84,19443.23,6693.7,11636.37,76371.1,5074.7,15989.18,35163.12,16169.21,26808.82,735693.0,13268.19,1590.0,4098.19,7300.0,280.0,416695.03,12150.0,4884.56,5683.12,9198.94,529.89,,175.0,70.94,9490.57,,15880.5,,1273.0,4990.99,,21461.83,,83730.0,96819.26,87245.03,20000.0,5353.92,10434.78,912.48,11755.12,580.87,1462.04,347.83,120993.68,54427.11,5491.49,8766.28,51808.8,500.0,56104.66,8374.08,47730.58,59663.23,653456.6,95504.59
2024-06-01,1337749.03,174489.0,1163260.03,446178.79,18721.42,11831.67,,35020.27,47955.42,10320.77,10323.56,4396.2,4764.39,9204.24,5999.13,47218.59,11738.11,9914.74,20639.84,6817.34,9773.24,65476.4,5669.0,18081.9,36288.07,15628.03,18593.49,717081.24,13737.04,2115.0,4082.04,6900.0,640.0,424523.95,11650.0,4711.49,2702.07,11537.64,8586.52,,181.0,521.74,6930.98,5052.71,15817.91,,1273.0,2454.67,,21229.44,,83730.0,96508.25,99247.28,20000.0,5660.46,10434.78,4488.7,7274.58,635.64,2199.43,695.66,117994.63,39948.85,5491.49,6252.25,65802.04,500.0,58011.1,11480.7,46530.4,58163.0,658692.68,72125.6
2024-07-01,1354378.74,176658.1,1177720.64,444496.84,17690.17,12894.91,,39092.08,47942.57,10963.25,10366.23,10750.52,5365.26,8653.74,5328.36,32128.25,13889.69,10390.06,18978.91,6222.12,13446.22,71786.91,4190.5,17880.19,21497.45,20829.34,22188.71,733223.8,13802.92,2115.0,3667.92,6900.0,1120.0,382866.03,14700.0,5224.26,183.61,14740.26,693.04,,181.0,2392.39,13530.4,4817.93,14213.2,,1273.0,2050.25,,6512.98,,83730.0,91314.77,78192.2,20000.0,5100.46,10434.78,1926.3,6204.72,770.44,2699.43,347.83,137858.5,59812.72,5491.49,6252.25,65802.04,500.0,51302.43,4201.3,47101.13,58876.42,630903.38,116123.34
2024-08-01,1418468.28,185017.6,1233450.68,477400.45,18193.05,11314.53,,36247.48,52779.39,8889.43,12861.54,10470.52,5517.63,10429.56,8096.67,45946.16,10081.67,10196.41,25362.23,6665.96,13293.99,83162.14,5484.5,20470.49,19368.62,18285.99,20388.27,756050.23,12627.55,1484.9,3202.65,6980.0,960.0,471683.52,39277.93,4623.24,2472.37,15892.06,205.2,,150.0,1217.39,8143.86,5144.47,12410.27,4064.72,1273.0,3002.05,22392.23,14511.05,,77230.0,100095.01,88241.78,30000.0,5468.53,10434.78,2199.13,6107.96,580.87,2227.16,695.66,123878.52,44632.0,6405.28,6252.25,65802.03,786.96,60517.16,11179.13,49338.03,61672.53,717751.73,50926.05
2024-09-01,1289598.97,168208.56,1121390.41,426085.11,20069.38,12969.12,,34396.33,47864.33,8202.68,10663.32,10095.74,5621.01,9464.98,6776.04,36581.08,7931.88,11175.05,17632.51,3839.9,9791.86,72628.71,5588.95,17661.84,23005.03,13637.84,19822.53,695305.3,15216.33,1597.0,3439.33,9860.0,320.0,496320.7,17900.0,3501.49,6878.03,8372.09,978.48,,164.0,1217.39,13216.19,1666.21,13327.42,1525.61,13786.54,10695.08,17600.77,10454.3,,77480.0,139896.36,100838.78,30000.0,6489.95,10514.78,1770.2,2588.91,1195.64,2702.91,695.66,144411.85,65452.28,6405.28,6252.25,65802.04,500.0,50146.06,5290.44,44855.62,56069.52,746948.13,36426.5
2024-10-01,1142927.65,149077.52,993850.13,371669.3,18130.67,10484.57,,30687.83,42385.32,7315.87,10469.14,7130.48,4077.64,10447.67,5332.63,31987.25,7040.43,9715.03,19203.6,6092.17,2033.73,63075.72,4590.0,17346.4,13216.07,13124.68,21094.92,622180.83,13592.64,2407.0,3485.64,6900.0,800.0,481640.67,15300.0,5656.5,8229.91,15030.42,3086.09,,125.0,1217.39,9646.92,2500.88,13367.01,860.3,6551.26,6726.03,17375.45,27062.55,,77480.0,97956.33,84636.47,30000.0,5161.73,10434.78,3307.74,13056.53,580.87,1656.8,695.66,133173.1,54178.76,6405.28,6252.25,65802.03,534.78,50030.32,10276.31,39754.01,49692.51,714536.6,78763.13
2024-11-01,1233002.34,160826.39,1072175.95,428640.8,20073.8,10109.06,,35131.2,42783.07,7821.88,11434.25,6688.18,9410.97,11408.16,6768.89,38816.71,6448.33,9707.37,20938.53,5055.26,16767.77,70120.67,5243.94,16885.84,23558.9,13504.46,18714.14,643535.15,12681.92,1280.0,4261.92,6180.0,960.0,415103.9,11650.0,5081.94,3052.44,10092.91,783.11,,157.0,1217.39,9156.69,726.43,16337.36,1441.41,1273.0,5160.27,14191.99,18448.89,,77480.0,91886.79,96102.45,,5158.39,10434.78,4037.05,10122.36,659.1,3182.91,4987.3,136011.94,56512.59,6405.28,6252.25,66307.04,534.78,60050.51,17163.47,42887.04,53608.8,664775.15,8558.08
2025-02-01,1094221.45,142724.54,951496.91,379260.88,18904.13,11148.93,,27161.44,41434.63,6348.4,12298.47,4970.06,5891.38,11110.7,6609.29,33850.91,6269.62,8560.47,16409.91,7285.4,7158.91,71060.37,4657.75,15575.4,10752.98,15665.92,19764.57,572236.03,10556.7,428.0,2188.7,6980.0,960.0,401539.8,51260.02,5064.32,1061.21,10158.82,1647.83,,89.0,1661.15,5451.38,722.39,11740.55,7893.14,1348.69,6237.92,15455.46,14323.23,,67730.0,84689.48,69601.54,,3912.8,10434.78,2673.44,3972.67,710.41,2157.24,5422.07,131837.14,49119.22,6405.28,6252.25,69525.61,534.78,49782.48,11722.6,38059.88,47574.85,630734.27,47941.54
